@station,number,@load,@bikeflag,reachtime,index,station_id,routename,abbr,routeID,hexcolor,color,name,gtfs_latitude,gtfs_longitude,address,city,county,state,zipcode
12TH,3,0,1,6,5,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,7,6,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,7,7,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,8,8,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,8,9,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,9,10,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,9,11,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,10,12,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,10,13,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,11,14,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,11,15,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,12,16,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,12,17,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,13,18,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,13,19,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,14,20,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,14,21,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,15,22,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,15,23,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,16,24,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,16,25,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,17,26,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,17,27,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,18,28,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,18,29,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,19,30,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,19,31,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,20,32,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,20,33,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,20,34,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,21,35,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,21,36,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,21,37,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,4,0,1,5,1,9,Richmond to Warm Springs/South Fremont,RICH-WARM,ROUTE 4,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,4,0,1,5,2,9,Richmond to Warm Springs/South Fremont,RICH-WARM,ROUTE 4,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,4,0,1,6,3,9,Richmond to Warm Springs/South Fremont,RICH-WARM,ROUTE 4,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,4,0,1,6,4,9,Richmond to Warm Springs/South Fremont,RICH-WARM,ROUTE 4,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,4,0,1,7,5,9,Richmond to Warm Springs/South Fremont,RICH-WARM,ROUTE 4,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
